"DateTime"	"Time_ms"	"Pres_dbar"	"Temp"	"Sal"	"Cond"	"Chla"	"pH"	"DOconc"	"DOsat"	"flag"
"2019-04-20 17:04:18"	0	-0.0539818219840527	-2.3687744140625	-0.000700159929692745	0.00398780219256878	0.817230224609375	-20.2645626068115	21.3625844653947	136.749389648438	FALSE
"2019-04-20 17:04:52"	34000	-0.0542879663407803	-2.94204711914062	0.00089456420391798	0.00613836804404855	0.298583984375	-20.2579650878906	21.5113267439531	135.375793457031	FALSE
"2019-04-20 17:04:53"	34167	-0.0542879663407803	-2.95639038085938	0	-0.00657664518803358	0.817138671875	-20.2579116821289	21.5416680086742	135.507766723633	FALSE
"2019-04-20 17:04:53"	34334	-0.0545277632772923	-3.00247192382812	0	-0.00493287621065974	1.95245361328125	-20.2576198577881	21.5593132257396	135.431930541992	FALSE
"2019-04-20 17:04:53"	34500	-0.0535771064460278	-2.99874877929688	-0.00144416093826294	0.00368423480540514	2.56411743164062	-20.2561569213867	21.5726532519787	135.52946472168	FALSE
"2019-04-20 17:04:53"	34667	-0.0545268133282661	-2.97622680664062	0.00845630001276731	0.0140947820618749	2.83438110351562	-20.2552318572998	21.565037983694	135.582321166992	FALSE
"2019-04-20 17:04:53"	34834	-0.0539031513035297	-2.9324951171875	0.00734913535416126	0.0129251834005117	2.94509887695312	-20.2559261322021	21.5439361567007	135.625839233398	FALSE
"2019-04-20 17:04:53"	35000	-0.0543097667396069	-2.8953857421875	-0.000838433392345905	0.0042528728954494	2.99258422851562	-20.2562503814697	21.5239425628673	135.642547607422	FALSE
"2019-04-20 17:04:54"	35167	-0.0537742488086224	-2.89859008789062	0	-0.00413431087508798	3.01031494140625	-20.2564716339111	21.5137233204665	135.565963745117	FALSE
"2019-04-20 17:04:54"	35334	-0.054038692265749	-2.90853881835938	0	-0.00443661585450172	3.02975463867188	-20.2557888031006	21.5269318636251	135.60888671875	FALSE
"2019-04-20 17:04:54"	35500	-0.0545429289340973	-2.89743041992188	-0.00157276634126902	0.00346274836920202	3.03012084960938	-20.2565517425537	21.5242947122659	135.635787963867	FALSE
"2019-04-20 17:04:54"	35667	-0.0540889240801334	-2.88516235351562	0.00726084038615227	0.0128152491524816	3.02951049804688	-20.2559604644775	21.5275996300506	135.714691162109	FALSE
"2019-04-20 17:04:54"	35834	-0.0545050166547298	-2.875244140625	0.00802394654601812	0.0136103788390756	3.02835083007812	-20.2559013366699	21.5300560945205	135.771102905273	FALSE
"2019-04-20 17:04:54"	36000	-0.0544405654072762	-2.87124633789062	-0.0028667701408267	0.00202839379198849	3.02252197265625	-20.2560062408447	21.5264338316036	135.754150390625	FALSE
"2019-04-20 17:04:55"	36167	-0.0542026609182358	-2.83737182617188	0	-0.0044314474798739	3.0313720703125	-20.2559490203857	21.5237116368451	135.876998901367	FALSE
"2019-04-20 17:04:55"	36334	-0.0542860701680183	-2.82864379882812	0	-0.006396418903023	3.04290771484375	-20.2559871673584	21.5170205137207	135.870132446289	FALSE
"2019-04-20 17:04:55"	36500	-0.0540775507688522	-2.80459594726562	-0.00149746146053076	0.00346774375066161	3.03948974609375	-20.2560119628906	21.5008622691652	135.86408996582	FALSE
"2019-04-20 17:04:55"	36667	-0.0537448674440384	-2.78961181640625	0.006994285620749	0.0124990558251739	3.04367065429688	-20.2560710906982	21.4947853696498	135.894424438477	FALSE
"2019-04-20 17:04:55"	36834	-0.0545476675033569	-2.79058837890625	0.00667288433760405	0.0121612465009093	3.03890991210938	-20.2564086914062	21.500341965149	135.92529296875	FALSE
"2019-04-20 17:04:55"	37000	-0.0543325133621693	-2.77139282226562	-0.000808678567409515	0.00418799323961139	3.03643798828125	-20.2561111450195	21.4759462747373	135.841674804688	FALSE
"2019-04-20 17:04:56"	37167	-0.0541837066411972	-2.71173095703125	0	-0.00582415470853448	3.02944946289062	-20.2561988830566	21.4261996169251	135.768798828125	FALSE
"2019-04-20 17:04:56"	37334	-0.0541457943618298	-2.69366455078125	0	-0.00389696797356009	3.03558349609375	-20.2561855316162	21.4215229609557	135.812164306641	FALSE
"2019-04-20 17:04:56"	37500	-0.0547694563865662	-2.6690673828125	0.00367926154285669	0.00893349386751652	3.03329467773438	-20.2572250366211	21.4185883512192	135.896438598633	FALSE
"2019-04-20 17:04:56"	37667	-0.0541097782552242	-2.66998291015625	0.0088155921548605	0.0143749602138996	3.03851318359375	-20.2571563720703	21.4213416588277	135.915069580078	FALSE
"2019-04-20 17:04:56"	37834	-0.0545865260064602	-2.6595458984375	0.00283645372837782	0.00802837312221527	3.04025268554688	-20.2562828063965	21.3940965789906	135.778686523438	FALSE
"2019-04-20 17:04:56"	38000	-0.055085077881813	-2.67861938476562	0	-0.00255226250737906	3.03524780273438	-20.2571926116943	21.4461263923535	136.029022216797	FALSE
"2019-04-20 17:04:57"	38167	-0.0549059398472309	-2.6619873046875	0	-0.00602730363607407	3.03314208984375	-20.2571811676025	21.4088667543664	135.859878540039	FALSE
"2019-04-20 17:04:57"	38334	-0.0542178265750408	-2.64056396484375	-0.00396604649722576	0.000547805335372686	3.0225830078125	-20.2565956115723	21.3932765271351	135.843688964844	FALSE
"2019-04-20 17:04:57"	38500	-0.054395068436861	-2.59744262695312	0.00563425570726395	0.0109791457653046	3.0301513671875	-20.2571125030518	21.3638441822452	135.839797973633	FALSE
"2019-04-20 17:04:57"	38667	-0.0534614697098732	-2.566162109375	0.00902942102402449	0.0145690059289336	3.0313720703125	-20.2572860717773	21.3586522969723	135.936187744141	FALSE
"2019-04-20 17:04:57"	38834	-0.0543524175882339	-2.55783081054688	0.0047499667853117	0.0100175756961107	3.01852416992188	-20.2580337524414	21.336917096937	135.827392578125	FALSE
"2019-04-20 17:04:57"	39000	-0.0541979223489761	-2.54400634765625	0	-0.0021312718745321	3.01791381835938	-20.2573757171631	21.3179664492198	135.757949829102	FALSE
"2019-04-20 17:04:58"	39167	-0.0543751642107964	-2.5557861328125	0	-0.00636171456426382	0.272369384765625	-20.2580070495605	21.3307788781037	135.792068481445	FALSE
"2019-04-20 17:04:58"	39334	-0.0541619062423706	-2.57354736328125	0	-0.0016382111934945	0.9639892578125	-20.2570705413818	21.3406481462466	135.783294677734	FALSE
"2019-04-20 17:04:58"	39500	-0.0538045801222324	-2.54928588867188	0.00327520724385977	0.00843420438468456	1.93890380859375	-20.2571811676025	21.3300080361044	135.816452026367	FALSE
"2019-04-20 17:04:58"	39667	-0.054424449801445	-2.55899047851562	0.00987645611166954	0.0154627822339535	2.49636840820312	-20.2574405670166	21.3308833335258	135.789154052734	FALSE
"2019-04-20 17:04:58"	39834	-0.054424449801445	-2.56903076171875	0.00606181472539902	0.0114213675260544	2.76303100585938	-20.2569618225098	21.3311753220511	135.746948242188	FALSE
"2019-04-20 17:04:58"	40000	-0.0543884336948395	-2.63531494140625	0	-0.000538553053047508	2.89138793945312	-20.2573299407959	21.3570504086112	135.638565063477	FALSE
"2019-04-20 17:04:59"	40167	-0.0545969530940056	-2.64126586914062	0	-0.00601622415706515	2.94949340820312	-20.2573623657227	21.3796487398141	135.758071899414	FALSE
